638, 290
637, 274
635, 252
634, 244
632, 230
630, 218
628, 208
625, 196
623, 189
618, 174
616, 169
609, 155
605, 149
602, 145
591, 134
585, 130
581, 128
575, 126
571, 125
566, 124
558, 123
547, 122
530, 121
472, 121
444, 122
424, 123
406, 124
390, 125
362, 127
336, 129
313, 131
291, 133
270, 135
230, 139
221, 140
215, 141
200, 144
196, 145
189, 147
180, 150
170, 154
160, 159
155, 162
149, 166
143, 171
137, 177
132, 183
130, 186
124, 198
123, 201
121, 209
120, 216
119, 457
119, 550
120, 607
121, 637
122, 660
123, 678
124, 694
125, 708
126, 721
128, 743
130, 761
132, 777
133, 784
135, 797
138, 815
139, 820
142, 834
146, 850
148, 857
154, 875
158, 885
164, 897
167, 902
169, 905
172, 909
183, 920
188, 923
190, 924
196, 926
201, 927
214, 929
235, 932
250, 934
267, 936
285, 938
295, 939
306, 940
318, 941
332, 942
350, 943
378, 944
412, 944
436, 943
450, 942
460, 941
469, 940
476, 939
488, 937
498, 935
507, 933
514, 931
529, 926
534, 924
550, 916
559, 910
565, 905
570, 900
574, 895
577, 890
581, 882
583, 876
584, 872
585, 866
596, 794
602, 754
608, 712
611, 690
613, 675
618, 636
621, 611
624, 585
627, 557
629, 536
632, 503
634, 478
635, 464
636, 448
637, 430
638, 410
639, 382
639, 314
